Invoice Number,Invoice Date,Sales Order#,Customer Name,Total with out GST,Total,Status,Salesperson Name,Account Type,Item Category
IV/MUB23-24/0356,30-11-2023,SO/MUB2324/0533,ADMIRIA TRADING,"INR 3,90,900","INR 391,291",Overdue,Hardika  Chindarkar,E1: Export,-No Value-
IV/MUB23-24/0357,01-12-2023,SO/MUB2324/0466,DECARCH INFOTECH LLP,"INR 6,853","INR 8,087",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0358,02-12-2023,SO/MUB2324/0537,Shivneri Hydraulics Manchar,"INR 4,00,000","INR 472,000",Overdue,Shreetej Tirodkar,C1: TCP,-No Value-
IV/MUB23-24/0359,04-12-2023,SO/MUB2324/0449,DECARCH INFOTECH LLP,"INR 12,791","INR 15,094",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0360,04-12-2023,SO/MUB2324/0541,Bhimashankar Hydraulic,"INR 13,200","INR 15,576",Overdue,Yogesh Bangde,C1: TCP,-No Value-
IV/MUB23-24/0361,06-12-2023,SO/MUB2324/0451,DECARCH INFOTECH LLP,"INR 2,888","INR 3,409",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0362,06-12-2023,SO/MUB2324/0452,DECARCH INFOTECH LLP,"INR 5,012","INR 5,914",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0363,06-12-2023,SO/MUB2324/0521,DECARCH INFOTECH LLP,"INR 5,641","INR 6,657",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0364,06-12-2023,SO/MUB2324/0522,DECARCH INFOTECH LLP,"INR 9,300","INR 10,974",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0365,08-12-2023,SO/MUB2324/0519,A N HYDRAULICS,"INR 1,20,512","INR 142,205",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0366,08-12-2023,SO/MUB2324/0557,OM SAI HYDRAULICS Ahmednagar,"INR 27,100","INR 31,978",Overdue,Sidheshwar Chaugule,C1: TCP,-No Value-
IV/MUB23-24/0367,08-12-2023,SO/MUB2324/0520,DECARCH INFOTECH LLP,"INR 36,740","INR 43,354",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0368,09-12-2023,SO/MUB2324/0561,DEVANSH hydraulics,"INR 2,32,000","INR 273,760",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0369,11-12-2023,SO/MUB2324/0562,Prathamesh Hub India Private Limited,"INR 85,000","INR 100,300",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0370,12-12-2023,SO/MUB2324/0564,DEVANSH hydraulics,"INR 3,80,000","INR 448,400",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0371,12-12-2023,SO/MUB2324/0563,Shivneri Hydraulics Manchar,"INR 37,140","INR 43,826",Overdue,Shreetej Tirodkar,C1: TCP,-No Value-
IV/MUB23-24/0372,13-12-2023,SO/MUB2324/0546,DECARCH INFOTECH LLP,"INR 68,780","INR 81,161",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0373,19-12-2023,SO/MUB2324/0560,BALAJI INDUSTRIES,"INR 1,03,500","INR 122,130",Overdue,Shreyash Patil,C1: TCP,-No Value-
IV/MUB23-24/0374,19-12-2023,SO/MUB2324/0581,Prathamesh Hub India Private Limited,"INR 85,000","INR 100,300",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0375,20-12-2023,SO/MUB2324/0571,A N HYDRAULICS,"INR 2,17,000","INR 256,060",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0376,22-12-2023,SO/MUB2324/0521,DECARCH INFOTECH LLP,"INR 4,706","INR 5,553",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0377,23-12-2023,SO/MUB2324/0506,DECARCH INFOTECH LLP,INR 154,INR 182,Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0378,27-12-2023,SO/MUB2324/0580,Suyaan Infrastructure pvt ltd,"INR 26,470","INR 31,235",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0379,27-12-2023,SO/MUB2324/0578,Suyaan Infrastructure pvt ltd,"INR 28,215","INR 33,294",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0380,27-12-2023,SO/MUB2324/0560,BALAJI INDUSTRIES,"INR 1,00,000","INR 118,000",Overdue,Shreyash Patil,C1: TCP,-No Value-
IV/MUB23-24/0381,27-12-2023,SO/MUB2324/0579,Suyaan Infrastructure pvt ltd,"INR 20,390","INR 24,061",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0382,27-12-2023,SO/MUB2324/0577,Suyaan Infrastructure pvt ltd,"INR 27,884","INR 32,903",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0383,27-12-2023,SO/MUB2324/0574,Suyaan Infrastructure pvt ltd,"INR 26,670","INR 31,471",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0384,27-12-2023,SO/MUB2324/0572,Suyaan Infrastructure pvt ltd,"INR 20,390","INR 24,061",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0385,27-12-2023,SO/MUB2324/0575,Suyaan Infrastructure pvt ltd,"INR 20,228","INR 23,869",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0386,27-12-2023,SO/MUB2324/0576,Suyaan Infrastructure pvt ltd,"INR 20,390","INR 24,061",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0387,27-12-2023,SO/MUB2324/0585,SHARVI HYDROLICS AND AUTOMOBILE,"INR 10,450","INR 12,331",Overdue,Yogesh Bangde,C1: TCP,-No Value-
IV/MUB23-24/0388,28-12-2023,SO/MUB2324/0590,SIDDHIVINAYAK EARTHMOVERS SPARES,"INR 15,090","INR 17,807",Closed,Nitin,D1: Retail (Individual Owners),-No Value-
IV/MUB23-24/0389,28-12-2023,SO/MUB2324/0595,shaikh nadim shaikh,"INR 85,169","INR 100,500",Overdue,Nitin,-No Value-,-No Value-
IV/MUB23-24/0390,29-12-2023,SO/MUB2324/0599,Shivneri Hydraulics Manchar,"INR 2,00,000","INR 236,000",Overdue,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0391,29-12-2023,SO/MUB2324/0601,GURUKRUPA ENTERPRISES,"INR 2,10,000","INR 247,800",Overdue,Nitin,-No Value-,-No Value-
IV/MUB23-24/0392,29-12-2023,SO/MUB2324/0602,DEVANSH hydraulics,"INR 4,60,000","INR 542,800",Closed,PARAG,C1: TCP,-No Value-
IV/MUB23-24/0393,30-12-2023,SO/MUB2324/0549,DECARCH INFOTECH LLP,"INR 35,013","INR 41,316",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0394,30-12-2023,SO/MUB2324/0608,SAHYADRI Hydraulic KOLHAPUR,"INR 9,40,000","INR 1,109,200",Closed,Nitin,-No Value-,-No Value-
IV/MUB23-24/0395,30-12-2023,SO/MUB2324/0606,SRT Earthmover,"INR 1,00,000","INR 118,000",Overdue,Nitin,-No Value-,-No Value-
IV/MUB23-24/0396,30-12-2023,SO/MUB2324/0605,Prathamesh Hub India Private Limited,"INR 3,80,000","INR 448,400",Overdue,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0397,30-12-2023,SO/MUB2324/0596,Shivneri Hydraulics latur,"INR 38,968","INR 45,983",Overdue,Sidheshwar Chaugule,C1: TCP,-No Value-
IV/MUB2324/0392,29-12-2023,SO/MUB2324/0640,DEVANSH hydraulics,"INR 4,60,000","INR 542,800",Closed,PARAG,C1: TCP,-No Value-
